tag,name
V1101,煤仓
V1102,磨煤机出料槽
V1103,冲洗水槽
V1111,煤浆分流器
W1101,煤称量给料机
M1101,磨煤机
S1101,一级滚筒筛
X1101,磨煤机出料槽搅拌器
X1102,润滑油站
P1103,低压煤浆泵（离心式）
P1101,低压煤浆泵（隔膜式）
P1102,冲洗水泵
L1101,桥式起重机
V1201,煤浆槽
V1202,添加剂槽
V1203,磨煤排放池
C1201,事故氮气压缩机
V1204,低压氮气储罐
V1206,高压氮气储罐
V1207,添加剂地下槽
X1201,煤浆槽搅拌器
X1202,添加剂槽搅拌器
X1203,添加剂地下槽搅拌器
P1201,煤浆给料泵
P1202,添加剂地下槽泵
P1203,添加剂给料泵
P1204,磨煤排放池泵
L1201,吊车
R1301,气化炉
V1301,烧嘴冷却水槽
V1302,事故烧嘴冷却水槽
S1201,二级滚筒筛
V1306,烧嘴冷却回水分离罐
V1307,锁斗
V1308,锁斗冲洗水罐
V1309,黑水过滤器
X1303,开工抽引器
X1305,抽引器消音器
X1306,破渣机
E1301,烧嘴冷却水冷却器
E1302,锁斗冲洗水冷却器
M1301,捞渣机
P1301,烧嘴冷却水泵
P1302,锁斗循环泵
P1303,渣池泵
L1301,吊车
L1302,吊车
L1303,电梯
T1401,水洗塔
T1402,蒸发热水塔
V1402,真空闪蒸罐
V1403,真空闪蒸分离罐
V1405,除氧槽
V1406,低压闪蒸罐
V1407,高温热水罐
V1408,旋风分离器
V1411,澄清槽
V1412,灰水槽
V1413,絮凝剂槽
V1415,分散剂槽
E1402,真空闪蒸冷凝器
E1404,废水冷却器
P1401,黑水循环泵
P1402,高温热水泵
P1403,脱氧水升压泵
P1406,低压灰水泵
P1407,澄清槽底流泵
P1410,絮凝剂泵
P1414,分散剂泵
X1401,澄清槽搅拌器
X1403,混合器
X1404,絮凝剂槽搅拌器
L1401,吊车

