name,tag,control_tag,unit,standard
烧嘴冷却水进口流量,X1301,FI_1310,m3/h,10~15
烧嘴冷却水出口流量,X1301,FI_1311,m3/h,10~15
激冷水流量,P1401,FI_1408,m3/h,>350
耐火砖托架温度,R1301,TI_1312-1315,C,<350
气化炉壁温,R1301,TE_1316 1~49,C,<300
气化炉出口合成气温度,R1301出口管道,TE_1317-1319,C,200~229
烧嘴冷却水出口温度,X1301,TE_1321,C,<55
水洗塔出口合成气温度,T1401,TI_1401,C,200~220
高压氮气压力,V1206,PI_1207,mpa,9~12
密封氮气压力,中压氮气管网,PI_1206,mpa.5.8~6.2
仪表空气压力,仪表空气管网,PI_1301,mpa,0.6~0.75
气化炉压力,R1301,PI_1304,mpa,<4.1
水洗塔出口合成气压力,T1401,PI_1401,mpa,<4.05
烧嘴冷却水进口压力,X1301,PI_1309,mpa,2~3
气化炉渣口压差,R1301,PDT_1306,kpa,<20
黑水过滤器压差,V1309,PDT_1308,kpa,<60
蒸发热水塔上段压力,T1402,PI_1414,mpa,0.3~0.6
气化炉液位,R1301,LI_1301,%,28~67
旋风分离器液位,V1408,LI_1304,%,30~60
烧嘴冷却水槽液位,V1301,LI_1306,%,60~80
水洗塔液位,T1401,LI_1401,%,52~68
灰水槽液位,V1412,LI_1409,%,70~92
