tag,name,floor
XV1311,进锁斗渣水第一切断阀,K4
XV1312,进锁斗渣水第二切断阀,K4
XV1313,出锁斗渣水切断阀,K2
XV1301,氧气管道第一切断阀,K9
XV1302,氧气管道第二切断阀,K9
XV1303,氧气管线放空切断阀,K9
XV1304,氧气管线开关阀,K8
XV1202,煤浆管线第二切断阀,K9
XV1204,煤浆管线氮气吹扫切断阀,K9
XV1304,氧气管线高压氮气吹扫阀,K8
XV1305,氧气管线高压氮气充压阀,K8
XV1306,氧气管线小流量高压氮气吹扫阀,K8
HV1302,氧气管线氮气充压开关阀,K8
XV1314,锁斗冲洗水切断阀,K3
XV1315,锁斗泄压阀,K4
XV1316,锁斗泄压管线冲洗阀,K4
XV1317,锁斗充压阀,K4
XV1318,锁斗循环泵入口切断阀,K4
XV1319,锁斗循环泵出口回路切断阀,K3
FV1303,氧气管线流量控制,K9
FV1305,烧嘴中心管氧气流量控制,K9
HV1303,氧气支管放空调节,K9
PV1401,水洗塔出口合成气压力放空调节,Z4
HV1405,水洗塔出口合成气旁路调节,Z4
HV1401,水洗塔出口水煤气调节,Z4
XV1401,水洗塔出口水煤气放空调节,Z4
LV1406,低压闪蒸罐液位调节,Z5
LV1404,蒸发热水塔液位调节,Z4
PV1410,旋风分离器出口黑水压力调节,Z3
PV1408,水洗塔出口黑水压力调节,Z3
PV1407,气化炉出口黑水压力调节,Z3
XV1307,进工艺烧嘴冷却水切断,K9
XV1308,出工艺烧嘴冷却水切断,K9
HV1305,预热烧嘴燃料气开关,K10
FV1307,气化炉出口黑水流量调节,K4
FV1309,出旋风分离器黑水流量切断,Z2
FV1406,水洗塔出口黑水流量切断,Z2
HV1304,开工抽引器蒸汽遥控,K8
HV1404,蒸发热水塔进口变换低温冷凝液遥控,Z4
FV1402,入水洗塔上塔高温变换冷凝液流量调节,Z3
PV1414,蒸发热水塔压力调节,Z4
FV1101,磨煤机补充水流量调节,M3
FV1308,进混合器工艺水流量调节,Z3
FV1313,进锁斗冲洗水罐灰水流量控制,K7
FV1340,气化炉托砖板喷淋水流量调节,ABK6CK7
FV1404,水洗塔上塔补水流量调节,Z3
FV1405,水洗塔下塔补水流量调节,Z2
FV1408,气化炉激冷水流量调节,K4
FV1422,从低压灰水泵至蒸发热水塔灰水流量调节,Z4
XV1201,煤浆管线第一切断阀,K9
XV1203,煤浆管线回流切断阀,K9
PV1203,煤浆回流管线调节遥控阀,K9
XV1320,捞渣机溢流阀,K1
PV1310,烧嘴冷却水槽补水,K8
LV1306,除氧器补水阀,K5
PV1411,真闪压力调节,Z5
PV1402,低闪压力调节,Z5
PV1403,低闪回收调节,Z5
PV1426,低闪开工压力调节,Z5
FV1421,低压灰水泵至废水处理流量调节阀,Z2
HV1402,入水洗塔下塔高温变换冷凝液流量调节,ABZ3
FV1102,磨煤机滤液水流量调节,M3

